# SN1992A 1.47 0.05 
SN1992A 1.47 5
SN1992A 1.47 45

# SN2011by 1.14 0.03
SN2011by 1.14 -10
SN2011by 1.14 -1

# SN2011fe 1.10 0.04 
SN2011fe 1.10 -13.1
SN2011fe 1.10 -10.1
SN2011fe 1.10 -6.9
SN2011fe 1.10 -2.9
SN2011fe 1.10 0.1
SN2011fe 1.10 3.4
SN2011fe 1.10 9.3
SN2011fe 1.10 20.9
SN2011fe 1.10 27.0
SN2011fe 1.10 40.8


# SN2011iv Foley et al. 2012
SN2011iv 1.77 0.4
SN2011iv 1.77 4.4
SN2011iv 1.77 9.4
SN2011iv 1.77 13.4
SN2011iv 1.77 17.4
SN2011iv 1.77 21.4
SN2011iv 1.77 21.4
SN2011iv 1.77 29.4

# SN2013dy 0.92 0.01
SN2013dy 0.92 -6.6
SN2013dy 0.92 -2.5
SN2013dy 0.92 -0.8
SN2013dy 0.92 1.2
SN2013dy 0.92 4.5
SN2013dy 0.92 8.4
SN2013dy 0.92 12.0
SN2013dy 0.92 14.0
SN2013dy 0.92 17.9
SN2013dy 0.92 20.8

# ASASSN-14lp 0.80 0.01
ASASSN-14lp 0.80 -8.9
ASASSN-14lp 0.80 -6.5
ASASSN-14lp 0.80 -4.5
ASASSN-14lp 0.80 -1.5
ASASSN-14lp 0.80 0.3
ASASSN-14lp 0.80 2.3
ASASSN-14lp 0.80 5.1
ASASSN-14lp 0.80 8.1
ASASSN-14lp 0.80 11.1
ASASSN-14lp 0.80 18.1


#SN2015F 1.26 0.1
SN2015F 1.26 -9.2
SN2015F 1.26 -7.7
SN2015F 1.26 -5.7
SN2015F 1.26 -2.8
SN2015F 1.26 0.6
SN2015F 1.26 2.2
SN2015F 1.26 5.4
SN2015F 1.26 8
SN2015F 1.26 11
SN2015F 1.26 18

#SN2016ccj 
SN2016ccj 0.62 0
SN2016ccj 0.62 7
SN2016ccj 0.62 15

#SN2017cbv 1.06 
SN2017cbv 1.06 -5.4
SN2017cbv 1.06 -3.4
SN2017cbv 1.06 -1.4
SN2017cbv 1.06 2.4

#SN2017erp 1.05
SN2017erp 1.05 -1.5
SN2017erp 1.05 1.6
SN2017erp 1.05 6.3
SN2017erp 1.05 11.2



SN2021fxy 1.05 -2.3
SN2021fxy 1.05 0.4
SN2021fxy 1.05 7.2

#SN2022hrs 1.2  using Apr 29 as peak date

SN2022hrs 1.2 -7
SN2022hrs 1.2 -3
SN2022hrs 1.2 -2
SN2022hrs 1.2 3
SN2022hrs 1.2 8
SN2022hrs 1.2 16
SN2022hrs 1.2 24


